player,account,episode,act,mapname,winrate,wins,losses,kd,adr,hs,aces,clutches,thrifty,flawless,plants,defuses
Pelle,pll#moc,3,1,Breeze,0.75,6,2,1.06,125.8,0.105,1,4,0,15,45,6
Pelle,pll#moc,3,1,Bind,0.625,5,3,1.10,135.3,0.162,0,11,0,9,33,3
Pelle,pll#moc,3,1,Ascent,0.5710000000000001,4,3,1.54,132.6,0.14300000000000002,0,5,0,15,47,6
Pelle,pll#moc,3,1,Icebox,0.539,7,6,1.12,132.5,0.14800000000000002,0,19,0,12,93,8
Pelle,pll#moc,3,1,Haven,0.455,5,6,1.09,140.3,0.155,0,13,0,9,65,9
Pelle,pll#moc,3,1,Split,0.364,4,7,1.20,146.9,0.146,3,13,0,13,47,8
Pelle,pll#moc,3,2,Breeze,1.0,1,0,1.18,150.7,0.263,0,3,0,0,2,1
Pelle,pll#moc,3,2,Ascent,0.5,1,1,1.10,139.1,0.142,0,4,0,1,8,2
Pelle,pll#moc,3,2,Bind,0.5,1,1,1.00,131.8,0.163,0,3,0,1,7,0
Pelle,pll#moc,3,2,Haven,0.5,1,1,1.34,164.2,0.205,0,2,0,4,3,1
Pelle,pll#moc,3,2,Icebox,0.0,0,1,1.20,139.5,0.23800000000000002,0,0,0,1,0,0
Pelle,pll#moc,3,2,Fracture,0.0,0,3,1.08,158.4,0.193,0,0,0,4,14,1
Pelle,pll#moc,3,3,Bind,1.0,1,0,1.00,134.1,0.10800000000000001,0,3,0,1,5,0
Pelle,pll#moc,3,3,Breeze,1.0,1,0,0.45,62.2,0.1,0,2,0,4,3,0
Pelle,pll#moc,3,3,Ascent,0.5,1,1,0.93,156.3,0.134,0,4,0,6,5,3
Pelle,pll#moc,3,3,Split,0.5,1,1,0.92,122.3,0.153,0,7,0,1,7,0
Pelle,pll#moc,4,3,Icebox,1.0,1,0,1.00,142.0,0.21899999999999997,0,0,0,0,0,3
Pelle,pll#moc,4,3,Bind,0.0,0,1,1.06,150.9,0.14300000000000002,0,1,0,1,2,0
Pelle,pll#moc,4,3,Fracture,0.0,0,1,1.00,119.0,0.239,0,0,0,2,1,0
Pelle,Poseidon#aerf,3,3,Split,1.0,1,0,2.50,149.8,0.03,0,1,0,0,0,0
Pelle,Poseidon#aerf,3,3,Icebox,1.0,3,0,2.57,199.9,0.184,0,0,0,1,3,1
Pelle,Poseidon#aerf,3,3,Breeze,1.0,2,0,2.83,240.7,0.114,0,1,0,1,1,1
Pelle,Poseidon#aerf,3,3,Bind,0.8,4,1,1.70,185.4,0.133,0,3,0,1,2,0
Pelle,Poseidon#aerf,3,3,Ascent,0.5,1,1,1.70,267.1,0.19399999999999998,0,1,0,0,2,1
Pelle,Poseidon#aerf,4,1,Ascent,1.0,3,0,1.90,200.6,0.243,0,0,0,2,4,1
Pelle,Poseidon#aerf,4,1,Icebox,0.857,6,1,1.48,149.5,0.217,0,5,0,3,3,1
Pelle,Poseidon#aerf,4,1,Breeze,0.75,3,1,1.18,150.1,0.065,0,4,0,0,4,0
Pelle,Poseidon#aerf,4,1,Bind,0.5710000000000001,4,3,1.59,159.9,0.154,0,2,0,1,6,1
Pelle,Poseidon#aerf,4,1,Haven,0.5,1,1,1.44,189.5,0.348,0,0,0,0,2,2
Pelle,Poseidon#aerf,4,1,Fracture,0.5,1,1,1.57,134.9,0.08,0,1,0,1,1,1
Pelle,Poseidon#aerf,4,1,Split,0.33299999999999996,1,2,0.85,103.6,0.23800000000000002,0,0,0,1,2,0
Pelle,Poseidon#aerf,4,2,Icebox,1.0,1,0,0.80,96.6,0.41700000000000004,0,0,0,0,0,1
Pelle,Poseidon#aerf,4,2,Breeze,0.857,6,1,2.41,233.1,0.17600000000000002,1,2,0,1,5,4
Pelle,Poseidon#aerf,4,2,Fracture,0.778,7,2,1.32,138.2,0.193,0,5,0,2,8,3
Pelle,Poseidon#aerf,4,2,Split,0.667,6,3,1.00,149.3,0.179,0,4,0,4,5,2
Pelle,Poseidon#aerf,4,2,Ascent,0.6,3,2,1.71,189.8,0.23399999999999999,1,0,0,1,2,2
Pelle,Poseidon#aerf,4,2,Bind,0.6,3,2,0.75,127.7,0.11699999999999999,0,1,0,0,6,2
Pelle,Poseidon#aerf,4,2,Haven,0.33299999999999996,2,4,1.29,239.3,0.175,0,2,0,3,5,0
Douglas,Dobakay#BR1,3,1,Breeze,0.6,9,6,1.18,124.6,0.16899999999999998,0,11,0,20,9,3
Douglas,Dobakay#BR1,3,1,Bind,0.583,14,10,1.04,120.4,0.125,0,37,0,31,16,5
Douglas,Dobakay#BR1,3,1,Icebox,0.545,12,10,0.85,115.0,0.102,0,37,0,20,20,5
Douglas,Dobakay#BR1,3,1,Haven,0.429,9,12,0.92,106.5,0.12,1,19,0,19,8,13
Douglas,Dobakay#BR1,3,1,Ascent,0.41200000000000003,7,10,0.96,113.7,0.134,0,14,0,23,15,7
Douglas,Dobakay#BR1,3,1,Split,0.375,9,15,1.04,118.0,0.131,0,26,0,29,15,12
