player,account,episode,act,mapname,agent,rounds_won,rounds_lost,kills,deaths,assists,kpr,adr,hs,acs
Pelle,pll#moc,3,1,haven,omen,11,13,14,18,8,0.6,163.0,0.188,182.0
Pelle,pll#moc,3,1,split,sage,12,14,23,20,10,0.9,173.0,0.153,273.0
Pelle,pll#moc,3,1,split,skye,4,13,12,14,1,0.7,132.0,0.158,213.0
Pelle,pll#moc,3,1,split,omen,13,9,12,15,5,0.5,101.0,0.128,156.0
Pelle,pll#moc,3,1,haven,sova,12,14,17,19,8,0.7,114.0,0.162,187.0
Pelle,pll#moc,3,1,icebox,sage,13,15,13,18,8,0.5,132.0,0.1,146.0
Pelle,pll#moc,3,1,icebox,sage,15,13,18,21,13,0.6,89.0,0.092,167.0
Pelle,pll#moc,3,1,split,sage,5,13,8,18,8,0.4,111.0,0.122,174.0
Pelle,pll#moc,3,1,bind,sage,13,10,14,16,6,0.6,116.0,0.121,161.0
Pelle,pll#moc,3,1,bind,sage,14,12,17,15,5,0.7,99.0,0.17,177.0
Pelle,pll#moc,3,1,icebox,sage,7,13,8,16,1,0.4,73.0,0.172,118.0
Pelle,pll#moc,3,1,haven,sage,13,10,14,16,8,0.6,120.0,0.123,171.0
Pelle,pll#moc,3,1,split,sage,5,13,15,14,2,0.8,136.0,0.153,226.0
Pelle,pll#moc,3,1,bind,omen,13,2,16,10,6,1.1,200.0,0.158,303.0
Pelle,pll#moc,3,1,breeze,sova,13,5,12,10,3,0.7,114.0,0.047,184.0
Pelle,pll#moc,3,1,breeze,sova,13,9,12,13,10,0.5,107.0,0.109,175.0
Pelle,pll#moc,3,1,icebox,sage,13,10,26,16,5,1.1,153.0,0.1009999999999999,311.0
Pelle,pll#moc,3,1,icebox,sage,13,8,17,9,7,0.8,136.0,0.136,233.0
Pelle,pll#moc,3,1,icebox,sage,13,8,11,13,4,0.5,108.0,0.113,164.0
Pelle,pll#moc,3,1,ascent,sage,13,2,7,4,2,0.5,83.0,0.103,134.0
Pelle,pll#moc,3,1,icebox,sage,13,4,14,6,5,0.8,142.0,0.213,231.0
Pelle,pll#moc,3,1,haven,sage,8,13,15,16,7,0.7,108.0,0.088,201.0
Pelle,pll#moc,3,1,breeze,sage,13,8,15,11,2,0.7,135.0,0.075,208.0
Pelle,pll#moc,3,1,breeze,sage,14,12,18,19,7,0.7,107.0,0.081,189.0
Pelle,pll#moc,3,1,split,sage,13,4,19,6,6,1.1,163.0,0.183,285.0
Pelle,pll#moc,3,1,bind,sage,13,5,15,11,3,0.8,127.0,0.131,238.0
Pelle,pll#moc,3,1,haven,sage,13,1,15,5,6,1.1,152.0,0.091,260.0
Pelle,pll#moc,3,1,bind,sage,7,13,10,16,4,0.5,99.0,0.159,152.0
Pelle,pll#moc,3,1,haven,sage,12,14,16,18,3,0.6,109.0,0.193,163.0
Pelle,pll#moc,3,1,haven,sage,13,7,18,12,9,0.9,182.0,0.182,265.0
Pelle,pll#moc,3,1,breeze,sage,13,2,5,8,1,0.3,72.0,0.136,93.0
Pelle,pll#moc,3,1,icebox,sage,9,13,18,18,3,0.8,147.0,0.188,234.0
Pelle,pll#moc,3,1,haven,sage,13,8,19,14,4,0.9,137.0,0.161,242.0
